Account Name,Primary Industry,Annual Revenue,Number of Employees,Monthly Cloud Spend,Relevant Technologies in Use,Primary Cloud Hosting,Secondary Cloud Hosting,Container Orchestration Tools,PostgreSQL/MySQL Alternatives in Use,Kafka Alternatives in Use,OpenSearch Alternatives in Use
Amaris Consulting,Business Services,USD 1 226 478 000,7500,USD 102 700,PostgreSQL; MySQL; Redis; Grafana; MongoDB; MariaDB; Kubernetes; Docker; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka,Kubernetes,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch; Apache Solr
Amazon UK,Media & Internet,USD 15 833 333 000,75000,USD 49 793 600,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,"Trend Micro, Inc.",SoftLayer an IBM Company,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Lucene
Amdocs,Business Services,USD 4 947 029 000,30288,USD 245 000,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka; Apache Flink,AT&T,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Amedia Produkt og Teknologi AS,Media & Internet,USD 400 416 000,2180,USD 89 500,MySQL; Kubernetes; Docker; HashiCorp Terraform; Prometheus,ip-217-182-94.eu,Redpill Linpro AS,Kubernetes; Docker,MySQL,,
American Credit Acceptance,Finance,USD 515 563 000,1000,USD 49 700,PostgreSQL; MySQL; Jenkins; Splunk,Amazon EC2,Microsoft Azure,,MySQL; PostgreSQL,,
American Eagle Outfitters,Retail,USD 5 035 176 000,11000,USD 560 600,,Consolidated Communications,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; Amazon Relational Database Service,Apache Kafka,
American Express,Finance,USD 60 515 000 000,77300,USD 5 570 100,PostgreSQL; MySQL; Redis; Redis; Apache Cassandra; Grafana; Grafana; MongoDB; MongoDB; MariaDB; Docker; Docker; HashiCorp Terraform; Jenkins; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Splunk; Splunk; Apache Kafka; Apache Kafka; Apache Flink,Rackspace,Google Inc.,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
American Family Insurance,Insurance,USD 14 400 000 000,16000,USD 106 300,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka,Heartland Business Systems,Amazon EC2,Kubernetes,MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr
American Heart Association,Organizations,USD 1 102 938 000,3400,USD 350 200,PostgreSQL; MySQL; Grafana; MongoDB; Jenkins; Splunk; Apache Kafka,AT&T,Amazon EC2,,MySQL; PostgreSQL,Apache Kafka,Elasticsearch
American Water,"Energy, Utilities & Waste",USD 4 133 000 000,6500,USD 74 500,PostgreSQL; MySQL; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk; Apache Kafka,Amazon EC2,Amazon Simple Email Service (SES),,MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch
AmeriGas,Retail,USD 2 943 000 000,6500,USD 12 600,PostgreSQL; Apache Cassandra; Grafana; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Splunk; Apache Kafka,Microsoft Azure,AWS Rekognition,,PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr
Ameriprise Financial,Finance,USD 14 565 000 000,13500,USD 868 800,PostgreSQL; MySQL; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,Databricks,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch
Amobee,Software,,600,USD 175 500,,Amazon EC2,Lumen Technologies,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Amtrak,Transportation,USD 4 586 896 000,19000,USD 587 700,PostgreSQL; MySQL; MongoDB; Docker; HashiCorp Terraform; Jenkins; Datadog; Splunk; Apache Kafka,Amazon EC2,AT&T,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch
Amway,Retail,USD 8 600 000 000,19000,USD 490 000,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; Jenkins; Splunk; Apache Kafka,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Confluent; Apache Kafka,Elasticsearch; Apache Solr
Amwell,Software,USD 274 890 000,1123,USD 59 600,PostgreSQL; MySQL; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Apache Kafka,Amazon EC2,"Acquia, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Amyris,Business Services,USD 258 821 000,1598,USD 29 800,PostgreSQL; MySQL; Apache Cassandra; Datadog; Prometheus; Snowflake; Splunk,"Docker, Inc.",Amazon EC2,"Docker, Inc.",MySQL; PostgreSQL,,
analyticpartners.com,Software,USD 56 714 000,270,,MySQL; MongoDB; Docker; HashiCorp Terraform; Jenkins,,,,,,
Ancestry,Media & Internet,USD 1 000 000 000,2000,USD 2 884 600,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Splunk; Apache Kafka,Amazon EC2,Veeam Software,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Aurora; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Anchorage School District,Education,USD 341 178 000,3765,USD 26 100,MySQL; Docker,Amazon EC2,one.com,,MySQL,,
Andersen Windows & Doors,Manufacturing,USD 3 400 000 000,12000,USD 105 900,PostgreSQL; MySQL; Jenkins; Snowflake; Splunk,Lumen Technologies,Hetzner Online GmbH,,MySQL; PostgreSQL; Microsoft Azure SQL Database,,
Anduril Industries,Manufacturing,USD 564 450 000,2200,USD 48 400,Grafana; Kubernetes; Docker; HashiCorp Terraform; Datadog; Splunk,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",,,
Ankura Consulting Group,Business Services,USD 462 614 000,2189,USD 19 200,PostgreSQL; MySQL; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk,Glenayre Technologies,MySQL,,MySQL; PostgreSQL,,Elasticsearch
Ann Summers,Retail,USD 258 000 000,1493,USD 20 800,PostgreSQL,Amazon EC2,Rackspace,,PostgreSQL,,
ANRITSU CORPORATION,Manufacturing,USD 746 484 870,4144,USD 59 500,PostgreSQL; MySQL; Jenkins; Snowflake; Apache Kafka,"Level 3 Communications, Inc.",Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Lucene
Ansira,Business Services,USD 430 035 000,1500,USD 54 200,PostgreSQL; MySQL; Grafana; MongoDB; Docker; Jenkins; Prometheus; Snowflake; Splunk,Microsoft Azure,"Level 3 Communications, Inc.",Kubernetes,MySQL; PostgreSQL,,Elasticsearch
ANZ,Finance,USD 13 611 409 000,40342,USD 914 800,PostgreSQL; Grafana; MongoDB; MongoDB; Kubernetes; Docker; Docker; HashiCorp Terraform; Prometheus; Couchbase; Snowflake; Splunk; Splunk,Amazon EC2,Teradata,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Confluent; Apache Kafka,Elasticsearch; Apache Lucene
Aon,Business Services,USD 13 376 000 000,50000,USD 316 100,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Couchbase; Snowflake; Splunk; Apache Kafka,Rackspace,Oracle Cloud,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,,Elasticsearch; Apache Solr; Apache Lucene
AO World,Retail,USD 2 247 402 000,2994,USD 123 500,MySQL; Redis; MongoDB; Docker; HashiCorp Terraform,Amazon EC2,Amazon Simple Email Service (SES),,MySQL; Microsoft Azure SQL Database,,Elasticsearch
AppDynamics,Software,USD 400 000 000,2000,USD 236 600,MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka,Amazon EC2,MySQL,"Kubernetes; Docker, Inc.",MySQL,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Appen,Business Services,USD 220 000 000,11000,USD 269 700,,Amazon EC2,Amazon Sagemaker,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Appian,Software,USD 488 960 000,2307,USD 129 900,MySQL; Apache Cassandra; Grafana; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Apache Kafka,Amazon EC2,MySQL,"Kubernetes; Docker, Inc.",MySQL; MariaDB,Apache Kafka,Elasticsearch
Applied Systems,Business Services,USD 437 565 000,2500,USD 59 900,PostgreSQL; MySQL; Kubernetes; Docker; HashiCorp Terraform; Datadog; Snowflake; Splunk,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,Elasticsearch
Appriss,Business Services,USD 251 197 000,707,USD 6 800,PostgreSQL; MySQL; MongoDB; Kubernetes; Docker; Jenkins; Apache Kafka,Amazon EC2,H. A. Storage Systems,,MySQL; PostgreSQL,Apache Kafka,
Apptio,Software,USD 273 067 000,1300,USD 87 800,PostgreSQL; MySQL; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Confluent,Elasticsearch
Aptean,Software,USD 680 091 000,3500,USD 151 200,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins,Fibertech Networks,Cogent Communications Holdings,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,,Apache Solr; Apache Lucene
Aptos,Software,USD 280 026 000,1000,USD 30 600,PostgreSQL; MySQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins,"Docker, Inc.",Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,Elasticsearch
AQA,Education,USD 460 303 000,2699,USD 47 300,PostgreSQL; MySQL,Veeam Software,Webnetism,,MySQL; PostgreSQL; EnterpriseDB,,
Aramex,Transportation,USD 4 400 000 000,14000,USD 80 400,,AWS Rekognition,Amazon EC2,,MySQL,,Elasticsearch
ARC,Business Services,USD 286 010 000,1800,USD 13 700,PostgreSQL; MySQL; Apache Cassandra; MongoDB; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk; Apache Kafka,Amazon EC2,AWS Rekognition,,MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr
Arcadis,Business Services,USD 3 905 053 000,36000,USD 34 400,PostgreSQL; PostgreSQL; MySQL; Grafana; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk; Apache Kafka,Informa,Oracle Cloud,,MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,
Arcelik,Manufacturing,USD 5 032 061 000,45000,USD 64 500,PostgreSQL; Jenkins,Amazon EC2,Vodafone Group Public Limited Company,,PostgreSQL,,
Arctic Wolf Networks,Software,USD 541 319 000,2221,USD 30 800,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,"Docker, Inc.",Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Aris Global,Business Services,USD 590 000 000,3000,USD 26 300,PostgreSQL; MySQL; Redis; Kubernetes; Docker; Jenkins; Prometheus; Apache Kafka,Snowflake Computing,Vodafone Group Public Limited Company,,MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,
Arista Networks,Business Services,USD 5 860 168 000,4023,USD 121 500,PostgreSQL; MySQL; Redis; Apache Cassandra; InfluxDB; ClickHouse; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Splunk; Apache Kafka,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch
Arm,Manufacturing,USD 2 938 000 000,8314,USD 446 600,PostgreSQL; MySQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Couchbase; Splunk,Amazon EC2,Databricks,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,Elasticsearch; Apache Solr; Apache Lucene
Artech Information Systems,Business Services,USD 925 000 000,11500,USD 43 200,PostgreSQL; MySQL; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Couchbase; Snowflake; Splunk; Apache Kafka; Apache Flink,Cologix New Jersey formerly Net Access,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Confluent; Apache Kafka,Elasticsearch
Article.com,Manufacturing,USD 488 203 000,1225,USD 80 800,MySQL; Apache Kafka,Oracle,Amazon EC2,,MySQL,Apache Kafka,
Aruba Networks,Software,USD 3 017 260 000,7000,USD 576 300,PostgreSQL; MySQL; Redis; Grafana; Kubernetes; Docker; Jenkins; Prometheus; Apache Kafka,Oracle Cloud,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
arup.com,Construction,USD 2 800 000 000,17447,USD 180 300,PostgreSQL; MySQL; Redis; Redis; MongoDB; Jenkins; Apache Kafka,Lumen Technologies,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,
Asana,Software,USD 578 977 000,1700,USD 1 572 400,PostgreSQL; MySQL; Redis; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Splunk,Amazon EC2,Snowflake Computing,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,Elasticsearch
ASB,Finance,USD 2 972 000 000,5634,USD 374 100,PostgreSQL; MySQL; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Apache Kafka,Databricks,LG Uplus,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Confluent; Apache Kafka,Elasticsearch
ASCAP,Organizations,USD 329 470 000,1334,USD 130 100,PostgreSQL; MongoDB; Docker; HashiCorp Terraform; Jenkins; Snowflake; Apache Kafka; Apache Flink,Amazon EC2,Snowflake Computing,"Docker, Inc.",PostgreSQL,Apache Kafka,Elasticsearch
Ascend Learning,Software,USD 996 905 000,4746,USD 106 400,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Couchbase; Snowflake; Splunk; Apache Kafka,Microsoft Azure,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Confluent; Apache Kafka,Elasticsearch; Apache Lucene
Ascension,Hospitals & Physicians Clinics,USD 28 000 000 000,160000,USD 385 400,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Oracle,"Liquid Web, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Confluent; Apache Kafka,Elasticsearch; Apache Solr
Ascential,Software,USD 731 241 000,3500,USD 131 400,PostgreSQL; MySQL; Redis; Kubernetes; Docker; Jenkins; Apache Kafka,Lumen Technologies,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Ashok Leyland,Manufacturing,USD 5 457 227 000,10101,USD 17 400,MySQL,Google Compute Engine,Amazon EC2,"Docker, Inc.",MySQL,,
aspiresys.com,Business Services,USD 1 029 253 000,4900,USD 70 000,PostgreSQL; MySQL; Redis; Apache Cassandra; Kubernetes; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
ASSA ABLOY,Business Services,USD 11 559 031 000,52960,USD 137 500,PostgreSQL; MySQL; Apache Cassandra; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Splunk,Amazon EC2,Microsoft Azure,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,Elasticsearch
Asset World Corp Public Company,Construction,USD 1 349 000 000,5500,,PostgreSQL,,,,,,
Assurant,Insurance,USD 10 575 000 000,16000,USD 465 200,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Splunk; Apache Kafka,Amazon EC2,Signal Sciences,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr
Aston Martin,Manufacturing,USD 1 501 938 000,2792,USD 34 400,MySQL,Celador Radio,Google Compute Engine,,MySQL,,
AstraZeneca Pharmaceuticals,Manufacturing,USD 292 150 000,3608,USD 844 500,PostgreSQL; MySQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka,Amazon EC2,SoftLayer an IBM Company,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,Elasticsearch
Asurion,Consumer Services,USD 21 495 943 000,23000,USD 409 400,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Prometheus,Amazon EC2,Databricks,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch; Apache Solr
AT&T,Telecommunications,USD 171 760 000 000,270000,USD 2 718 500,PostgreSQL; PostgreSQL; MySQL; MySQL; Apache Cassandra; Apache Cassandra; InfluxDB; MongoDB; MariaDB; MariaDB; Docker; HashiCorp Terraform; HashiCorp Terraform; Datadog; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Microsoft Azure,,MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
ATB Financial,Finance,USD 1 601 406 000,5300,USD 20 700,PostgreSQL; MySQL; MySQL; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Splunk,Google Compute Engine,Amazon EC2,,MySQL; PostgreSQL,,
atea.no,Business Services,USD 4 313 213 000,7585,,Splunk,,,,,,
athenahealth,Business Services,USD 1 373 681 000,6500,USD 924 900,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,Oracle Cloud,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Atkins,Business Services,USD 5 157 009 000,24402,USD 24 500,MySQL; Kubernetes; Docker; Snowflake; Splunk; Apache Kafka,Databricks,Amazon EC2,"Docker, Inc.",MySQL; PostgreSQL,Confluent; Apache Kafka,Apache Solr; Apache Lucene
AtlantiCare,Hospitals & Physicians Clinics,USD 846 656 000,6000,USD 7 700,PostgreSQL; MySQL; Grafana,IONOS,Crownpeak,,MySQL; PostgreSQL,,Elasticsearch
Atlas Copco Group,Manufacturing,USD 16 415 263 000,52778,USD 513 600,PostgreSQL; MySQL; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Apache Kafka,Amazon EC2,China Telecom,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database,,
atos.net,Business Services,USD 12 495 688 040,120000,USD 234 900,MySQL; Redis; Grafana; MongoDB; MariaDB; MariaDB; Kubernetes; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka; Apache Flink,Kubernetes,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Auchan International,Retail,USD 5 000 000 000,10,,,,,,,,
Auckland Transport,Government,USD 1 846 500 000,1863,USD 31 000,PostgreSQL,Amazon EC2,Microsoft Azure,,PostgreSQL,Confluent,
Audi AG,Manufacturing,USD 55 000 000 000,11000,USD 570 800,,Amazon EC2,Google Compute Engine,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
audibene,Retail,USD 1 101 667 000,1200,USD 45 500,PostgreSQL; MySQL; HashiCorp Terraform; Jenkins; Snowflake; Splunk; Apache Kafka,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,
Aurea,Software,USD 420 103 000,2000,USD 391 300,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; Jenkins; Datadog,Microsoft Azure,Cogeco,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr
Australian Bureau of Statistics,Government,USD 357 106 000,2987,USD 93 200,MySQL; Jenkins,Amazon EC2,Microsoft Azure,,MySQL,,
Australia Post,Government,USD 18 518 070 000,36374,USD 631 100,PostgreSQL; MySQL; Redis; Apache Cassandra; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Splunk,Amazon EC2,Teradata,Kubernetes,MySQL; PostgreSQL,,Elasticsearch
Autodesk,Software,USD 5 212 000 000,13700,USD 7 302 600,MySQL; Redis; Redis; Apache Cassandra; Grafana; Kubernetes; Kubernetes; Docker; Docker; HashiCorp Terraform; HashiCorp Terraform; Datadog; Datadog; Prometheus; Couchbase; Couchbase; Snowflake; Splunk; Apache Flink,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
AutoStore,Manufacturing,USD 583 500 000,873,USD 1 100,PostgreSQL; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Apache Kafka,"Docker, Inc.",Amazon EC2,"Docker, Inc.",PostgreSQL,Apache Kafka,
Availity,Software,USD 322 037 000,1400,USD 165 100,PostgreSQL; MySQL; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Splunk; Apache Kafka,Lumen Technologies,Veeam Software,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch
Avalara,Software,USD 789 432 000,4800,USD 326 600,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,Oracle Cloud,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Aurora; Amazon Relational Database Service,Apache Kafka,Elasticsearch
Avaloq,Business Services,USD 680 092 000,2000,USD 84 400,PostgreSQL; MySQL; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Swisscontact worldwide,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
